TIC_ID,Teff,Tmag,r_est,Obs,a_RV,a_EA,a_EM,Per_RV,Per_EA,Per_EM,Elat,Glat,Gaia_ID,RA,Dec,asep_RV,asep_EA,asep_EM,Ttime,TWOMASS,HZ_flag,JWST_flag,Earth_flag,S1_flag,S2_flag,S3_flag,S4_flag,S5_flag,S6_flag,
167651964,4002,11.16,59.98475678,331.56,0.248,0.309,0.647,57.06,79.48,240.44,-84.2422,-24.4479,5286215958023644288,102.21623,-63.895299,4.13,5.15,10.79,0.796,06485189-6353432,0,0,0,1,1,1,1,0,1,
235944789,3627,11.95,59.83000197,84.861,0.134,0.165,0.363,26.31,36.08,117.85,72.8035,25.2604,2301672016150263936,296.0161,82.7411,2.24,2.76,6.07,0.234,19440389+8244278,0,0,0,0,0,0,0,0,0,
229707225,4392,9.81,59.61700537,322.839,0.342,0.432,0.863,88.14,125.13,353.13,86.0247,26.867,2259422629017852544,278.166737,69.078683,5.74,7.25,14.48,2.866,18324001+6904432,0,1,1,0,0,0,0,0,0,
38515255,4203,10.57,59.53396257,254.61,0.346,0.434,0.886,89.52,125.88,366.99,-77.4939,-42.1926,4676732787026127104,62.614693,-62.179206,5.81,7.29,14.88,1.825,04102752-6210451,0,0,1,1,1,1,1,1,1,
456040255,2911,11.92,59.50520882,51.732,0.063,0.077,0.192,10.66,14.34,56.39,62.8069,5.8981,2211685957313821696,340.7025,65.5187,1.06,1.29,3.23,0.051,22424857+6531072,0,0,0,0,0,0,0,0,0,
160619243,3635,11.37,59.48965589,202.851,0.212,0.262,0.576,43.39,59.51,194.04,76.7327,33.886,1704597001373624704,246.0772,77.9024,3.56,4.4,9.68,0.96,16241856+7754086,0,0,0,0,0,0,0,0,0,
444166966,3019,10.12,59.33926446,23.517,0.039,0.047,0.115,7.47,10.07,38.36,-14.0456,-61.2128,6624440699881064704,341.2936,-23.105,0.66,0.79,1.94,0.011,22451043-2306179,0,0,1,0,0,0,0,0,0,
329247061,4054,10.58,59.27361249,339.66,0.259,0.323,0.671,60.34,84.24,252.35,80.1368,32.7483,1422134079105861376,263.770681,57.133403,4.37,5.45,11.32,1.403,17350496+5708003,0,0,0,0,0,0,0,0,0,
471012560,3474,11.6,59.27089442,71.577,0.11,0.135,0.305,21.56,29.4,99.43,70.068,44.883,1674198975199225344,214.4919,70.5299,1.86,2.28,5.15,0.152,14175808+7031474,0,0,0,0,0,0,0,0,0,
154203988,3474,11.6,59.27089442,71.577,0.11,0.135,0.305,21.56,29.4,99.43,70.0678,44.8834,1674198975199225344,214.4916,70.5295,1.86,2.28,5.15,0.152,14175808+7031474,0,0,0,0,0,0,0,0,0,
219739842,4058,10.76,59.227845,341.442,0.221,0.276,0.573,48.64,67.92,203.31,78.288,41.5111,1641706654252287488,242.0122,64.3946,3.73,4.66,9.67,0.781,16080293+6423404,0,0,0,0,0,0,0,0,0,
237098720,3681,11.85,59.11036646,341.55,0.159,0.196,0.429,32.19,44.24,142.81,78.2176,38.5498,1648284684427746944,239.7642,71.7859,2.69,3.32,7.26,0.388,15590339+7147091,1,0,0,0,0,0,0,0,0,
233513676,3730,10.77,59.03423589,209.196,0.171,0.212,0.46,35.09,48.31,154.34,76.847,28.4433,2125637554547780352,270.8749,53.4147,2.9,3.59,7.79,0.462,18032999+5324528,0,0,0,0,0,0,0,0,0,
377197107,3828,10.71,58.99526991,212.004,0.197,0.244,0.522,41.12,56.84,177.93,76.8906,20.3757,2141265600507325824,286.2587,55.934,3.34,4.14,8.85,0.652,19050208+5556025,0,0,0,0,0,0,0,0,0,
224608226,4485,9.72,58.7149798,339.444,0.367,0.465,0.92,96.91,138.24,384.23,80.3076,36.7328,1436893442160936576,255.916378,59.236919,6.25,7.92,15.67,3.006,17033993+5914128,0,0,1,0,0,0,0,0,0,
237201419,3617,11.67,58.68045261,340.146,0.132,0.163,0.359,25.94,35.55,116.39,79.6562,23.0716,2264896650736187520,293.0961,73.4177,2.25,2.78,6.12,0.233,19322306+7325038,1,0,0,0,0,0,0,0,0,
233087860,4516,9.94,58.59458864,332.262,0.357,0.453,0.892,92.43,132.07,365.23,84.0375,28.5648,2158781336134901760,272.203957,60.678211,6.09,7.73,15.22,2.386,18084894+6040414,0,0,1,0,0,0,0,0,0,
382200069,3885,11.07,58.5862936,341.55,0.224,0.278,0.59,49.82,69.03,213.63,-78.1306,-33.9552,4769902855447398528,81.604692,-55.385874,3.82,4.75,10.07,0.827,05262512-5523091,0,0,0,0,1,1,1,1,1,
288526515,3909,11.37,58.49730984,144.531,0.218,0.271,0.574,46.46,64.45,198.5,75.2896,28.035,2296050762953174272,274.6597,81.2258,3.73,4.63,9.81,0.825,18183833+8113330,0,0,0,0,0,0,0,0,0,
298265399,4050,11.14,58.44193472,170.289,0.258,0.322,0.669,60.08,83.87,251.43,76.019,41.3265,1431230132643768704,247.835882,57.082689,4.41,5.51,11.45,0.836,16312060+5704576,0,0,0,0,0,0,0,0,0,
231097055,3862,10.55,58.43329287,337.257,0.219,0.272,0.579,48.41,67.01,208.34,-81.8506,-36.9153,4655804854508423296,69.3879,-69.18749,3.75,4.65,9.91,1.385,04373309-6911149,0,0,0,1,1,1,0,1,1,
387333147,3567,11.71,58.39855375,118.017,0.126,0.156,0.346,24.54,33.57,111.13,74.3216,14.8838,2245989753726853376,310.2003,66.6736,2.16,2.67,5.92,0.207,20404805+6640248,0,0,0,0,0,0,0,0,0,
288603254,4140,10.21,58.35775246,341.442,0.308,0.386,0.793,77.51,108.66,320.39,78.3249,27.7296,2293592804709994752,276.87995,78.066913,5.28,6.61,13.59,2.11,18273118+7804007,0,0,1,0,0,0,0,0,0,
230376668,3638,11.64,58.26072203,337.338,0.168,0.208,0.457,33.15,45.47,148.16,81.8346,22.6289,2252152726855794944,285.129,61.6969,2.88,3.57,7.84,0.459,19003095+6141486,1,0,0,0,0,0,0,0,0,
359552479,3577,11.43,58.25851513,339.849,0.133,0.164,0.365,26.49,36.25,119.74,79.978,24.4107,2154194280999227392,279.4347,57.539,2.28,2.82,6.27,0.248,18374433+5732202,1,0,0,0,0,0,0,0,0,
294399648,3723,11.86,58.25538126,340.74,0.169,0.21,0.455,34.62,47.65,152.44,-79.076,-20.118,5485428399619298176,109.3202,-59.8424,2.9,3.6,7.81,0.449,07171685-5950327,1,0,0,0,0,0,1,0,0,
149935360,4812,9.55,58.2129567,325.647,0.37,0.475,0.907,95.39,138.51,365.97,-85.5819,-29.7504,4758231784330790400,89.925812,-62.142699,6.36,8.16,15.58,2.473,05594219-6208338,0,1,1,0,0,0,0,1,0,
38510271,3572,11.49,58.04208281,232.119,0.154,0.19,0.421,31.34,42.89,141.83,-77.2031,-42.4306,4676817861738430592,62.434766,-61.776165,2.65,3.27,7.25,0.537,04094434-6146340,0,0,0,1,1,1,0,1,0,
165308658,3636,11.82,57.95680926,95.526,0.154,0.19,0.419,30.24,41.48,135.23,73.3384,14.1879,2234315968195931776,299.1296,56.8105,2.66,3.28,7.23,0.353,19563108+5648377,0,0,0,0,0,0,0,0,0,
25132999,4014,10.77,57.80767559,340.848,0.25,0.312,0.653,57.82,80.57,243.19,-78.9856,-38.1272,4653866999617253376,62.02948,-71.450237,4.32,5.4,11.3,1.06,04080707-7127009,0,0,0,1,1,1,1,1,1,
396721425,3718,11.76,57.79652447,118.449,0.168,0.208,0.453,34.35,47.26,151.37,-74.3487,-42.7278,4778519354412012672,65.792,-55.8445,2.91,3.6,7.84,0.438,04231006-5550401,0,0,0,0,0,1,0,1,0,
267327485,3256,10.12,57.76066155,63.774,0.069,0.084,0.197,13.23,17.93,63.98,-67.8083,-13.2752,5506602416591979904,113.4104,-47.9747,1.19,1.45,3.41,0.048,07333850-4758291,0,0,1,0,0,0,0,0,0,
219013711,3505,11.77,57.74206876,79.92,0.152,0.187,0.419,28.78,39.29,131.92,71.9181,45.9137,1669632394171144448,222.7328,67.3199,2.63,3.24,7.26,0.375,14505589+6719215,0,0,0,0,0,0,0,0,0,
150359892,4473,10.02,57.72748578,333.558,0.326,0.412,0.816,83.06,118.41,329.74,-83.592,-26.5767,5481563925484993664,96.32966,-60.791981,5.65,7.14,14.14,1.812,06251911-6047308,0,0,1,0,1,1,1,1,1,
38509907,4082,11.94,57.68513762,281.583,0.264,0.33,0.684,62.11,86.84,258.78,-77.7467,-42.0196,4676337577019135488,62.378536,-62.851409,4.58,5.72,11.86,0.39,04093083-6251052,0,0,0,1,1,1,1,1,1,
329350004,3637,11.65,57.67306199,159.138,0.111,0.137,0.301,22.53,30.91,100.75,75.7191,28.8176,1367893315082292736,269.9836,52.2798,1.92,2.38,5.22,0.141,17595605+5216472,0,0,0,0,0,0,0,0,0,
279739360,3603,11.62,57.67208041,80.946,0.14,0.172,0.38,27.86,38.17,125.34,-72.1098,-47.6926,4722916364201052032,51.5424,-60.414,2.43,2.98,6.59,0.281,03261016-6024504,0,0,0,1,1,0,0,0,1,
21282990,3968,10.8,57.65271635,171.612,0.233,0.29,0.61,50.35,70.03,213.23,76.0415,24.5991,2145788475947885824,277.3044,53.0706,4.04,5.03,10.58,0.97,18291306+5304144,0,0,0,0,0,0,0,0,0,
255633870,3730,11.51,57.57932807,103.545,0.171,0.212,0.46,35.09,48.31,154.34,-73.7175,-23.6374,5502684581781427456,98.0011,-50.7862,2.97,3.68,7.99,0.462,06320026-5047102,0,0,0,1,1,1,0,1,1,
219194614,3709,11.31,57.54329603,188.109,0.166,0.205,0.446,33.79,46.48,149.14,-76.4204,-27.6153,5548648600228817792,92.1741,-53.0232,2.88,3.56,7.75,0.425,06084178-5301234,0,0,0,1,1,1,1,1,1,
376867808,3521,11.76,57.48926602,317.439,0.108,0.133,0.297,21.15,28.89,96.63,86.656,27.5188,2259080577822638720,276.2968,68.9081,1.88,2.31,5.17,0.141,18251121+6854290,1,1,0,0,0,0,0,0,0,
235902496,3639,11.44,57.28721638,87.318,0.115,0.142,0.312,23.21,31.85,103.75,73.0512,26.1392,2301725892219917696,289.1855,82.9697,2.01,2.48,5.45,0.152,19164452+8258106,0,0,0,0,0,0,0,0,0,
349976424,3938,10.93,57.24209904,186.516,0.225,0.281,0.592,48.41,67.23,205.9,76.3902,16.8936,2246688978699232256,305.1787,67.3428,3.93,4.91,10.34,0.904,20204289+6720340,0,0,0,0,0,0,0,0,0,
315813656,3236,11.79,57.21415931,67.041,0.065,0.08,0.188,12.57,17.03,61.08,68.8234,8.6851,2192417084754186368,316.1425,60.0275,1.14,1.4,3.29,0.04,21043420+6001390,0,0,0,0,0,0,0,0,0,
198358234,3558,11.43,57.05627087,340.74,0.129,0.159,0.353,25.52,34.9,115.78,79.1146,36.6888,1433515875583067904,256.3868,57.6694,2.26,2.79,6.19,0.384,17053282+5740096,1,0,0,0,0,0,0,0,0,
270674368,3598,11.89,56.86748759,80.676,0.139,0.171,0.378,27.65,37.87,124.51,-72.057,-29.8684,4794618815983490560,87.5063,-48.664,2.44,3.01,6.65,0.271,05500151-4839505,0,0,0,0,0,1,1,1,0,
167306154,3464,11.62,56.81709879,316.548,0.108,0.133,0.3,21.14,28.83,97.72,-86.7478,-26.6128,5283353345142945664,98.1876,-66.9485,1.9,2.34,5.28,0.15,06324503-6656547,1,1,0,1,1,1,1,1,1,
349194688,4420,9.67,56.78780385,337.257,0.358,0.453,0.902,93.84,133.41,374.73,-81.8732,-21.7569,5282665634977550336,108.787549,-64.229263,6.3,7.98,15.88,3.099,07150901-6413453,0,0,1,1,1,1,1,1,1,
366579153,3673,11.68,56.69001807,197.694,0.159,0.197,0.43,31.51,43.28,139.97,76.6248,19.9653,2275918219716176000,304.6382,73.2471,2.8,3.48,7.59,0.382,20183316+7314494,0,0,0,0,0,0,0,0,0,
